has_particle,x,y,d,d_particle,Ms_particle,Hx,Hy,Hz,N,freq,freq_diff
True,70.0,0.0,20.0,20.0,1000000.0,0,0,80000.0,2,5.976682784676581,0.060104785463609645
True,70.0,0.0,20.0,20.0,1000000.0,0,0,80000.0,3,8.029237145450429,0.11147257435528513
True,70.0,0.0,20.0,20.0,1000000.0,0,0,80000.0,4,8.41241745327143,-0.0028207700835629623
True,70.0,0.0,20.0,20.0,1000000.0,0,0,80000.0,5,10.70594223393419,0.1027576922284883
True,80.0,0.0,20.0,20.0,1000000.0,0,0,80000.0,1,4.440576039854861,-0.003086176733798851
True,80.0,0.0,20.0,20.0,1000000.0,0,0,80000.0,2,5.937845679459668,0.021267680246697118
True,80.0,0.0,20.0,20.0,1000000.0,0,0,80000.0,3,7.974107230788005,0.05634265969286112
True,80.0,0.0,20.0,20.0,1000000.0,0,0,80000.0,4,8.408763865601488,-0.0064743577535057995
True,80.0,0.0,20.0,20.0,1000000.0,0,0,80000.0,5,10.672745368056846,0.06956082635114491
True,90.0,0.0,20.0,20.0,1000000.0,0,0,80000.0,1,4.434274520346088,-0.009387696242571408
True,90.0,0.0,20.0,20.0,1000000.0,0,0,80000.0,2,5.914294891328429,-0.0022831078845424457
True,90.0,0.0,20.0,20.0,1000000.0,0,0,80000.0,3,7.935081538086092,0.017316966990948757
True,90.0,0.0,20.0,20.0,1000000.0,0,0,80000.0,4,8.407967646497886,-0.007270576857107969
True,90.0,0.0,20.0,20.0,1000000.0,0,0,80000.0,5,10.62678783457574,0.023603292870038928
True,10.0,20.0,5.0,20.0,1000000.0,0,0,80000.0,1,4.653367805468694,0.2097055888800341
True,10.0,20.0,5.0,20.0,1000000.0,0,0,80000.0,2,5.91291722344881,-0.0036607757641613503
True,10.0,20.0,5.0,20.0,1000000.0,0,0,80000.0,3,7.96489596670005,0.04713139560490642
True,10.0,20.0,5.0,20.0,1000000.0,0,0,80000.0,4,8.885725469832678,0.4704872464776848
True,10.0,20.0,5.0,20.0,1000000.0,0,0,80000.0,5,10.593243364350345,-0.0099411773553566
True,20.0,20.0,5.0,20.0,1000000.0,0,0,80000.0,1,4.613970437586042,0.17030822099738252
True,20.0,20.0,5.0,20.0,1000000.0,0,0,80000.0,2,6.005366402319538,0.08878840310656688
True,20.0,20.0,5.0,20.0,1000000.0,0,0,80000.0,3,7.922985109499957,0.005220538404813624
True,20.0,20.0,5.0,20.0,1000000.0,0,0,80000.0,4,8.706930105710093,0.29169188235509935
True,20.0,20.0,5.0,20.0,1000000.0,0,0,80000.0,5,10.60083010547342,-0.002354436232280932
True,30.0,20.0,5.0,20.0,1000000.0,0,0,80000.0,1,4.565509862453642,0.12184764586498265
True,30.0,20.0,5.0,20.0,1000000.0,0,0,80000.0,2,6.0963434020385145,0.17976540282554332
True,30.0,20.0,5.0,20.0,1000000.0,0,0,80000.0,3,7.917613128318956,-0.00015144277618794888
True,30.0,20.0,5.0,20.0,1000000.0,0,0,80000.0,4,8.585747570790637,0.17050934743564383
True,30.0,20.0,5.0,20.0,1000000.0,0,0,80000.0,5,10.606428797742177,0.0032442560364760453
True,40.0,20.0,5.0,20.0,1000000.0,0,0,80000.0,1,4.5194722262232725,0.07581000963461282
True,40.0,20.0,5.0,20.0,1000000.0,0,0,80000.0,2,6.1292068779834965,0.21262887877052528
True,40.0,20.0,5.0,20.0,1000000.0,0,0,80000.0,3,7.990273061267605,0.07250849017246175
True,40.0,20.0,5.0,20.0,1000000.0,0,0,80000.0,4,8.519110810852972,0.10387258749797823
True,40.0,20.0,5.0,20.0,1000000.0,0,0,80000.0,5,10.622254503960038,0.01906996225433666
True,50.0,20.0,5.0,20.0,1000000.0,0,0,80000.0,1,4.480696717821113,0.03703450123245311
True,50.0,20.0,5.0,20.0,1000000.0,0,0,80000.0,2,6.094007561757102,0.17742956254413045
True,50.0,20.0,5.0,20.0,1000000.0,0,0,80000.0,3,8.081683919682307,0.1639193485871635
True,50.0,20.0,5.0,20.0,1000000.0,0,0,80000.0,4,8.4675840538231,0.0523458304681057
True,50.0,20.0,5.0,20.0,1000000.0,0,0,80000.0,5,10.65100564105911,0.04782109935340806
True,60.0,20.0,5.0,20.0,1000000.0,0,0,80000.0,1,4.450317706309771,0.006655489721111074
True,60.0,20.0,5.0,20.0,1000000.0,0,0,80000.0,2,6.020101903969078,0.10352390475610651
True,60.0,20.0,5.0,20.0,1000000.0,0,0,80000.0,3,8.092275087574826,0.17451051647968274
True,60.0,20.0,5.0,20.0,1000000.0,0,0,80000.0,4,8.417454606270772,0.00221638291577797
True,60.0,20.0,5.0,20.0,1000000.0,0,0,80000.0,5,10.653702638330001,0.05051809662429996
True,70.0,20.0,5.0,20.0,1000000.0,0,0,80000.0,1,4.427977823769237,-0.015684392819422577
True,70.0,20.0,5.0,20.0,1000000.0,0,0,80000.0,2,5.9384232530882235,0.02184525387525227
True,70.0,20.0,5.0,20.0,1000000.0,0,0,80000.0,3,7.998810140707021,0.08104556961187726
True,70.0,20.0,5.0,20.0,1000000.0,0,0,80000.0,4,8.396076888055948,-0.019161335299045845
True,70.0,20.0,5.0,20.0,1000000.0,0,0,80000.0,5,10.643683125916938,0.04049858421123709
True,80.0,20.0,5.0,20.0,1000000.0,0,0,80000.0,1,4.418926834671039,-0.024735381917620813
True,80.0,20.0,5.0,20.0,1000000.0,0,0,80000.0,2,5.889044613729543,-0.02753338548342832
True,80.0,20.0,5.0,20.0,1000000.0,0,0,80000.0,3,7.912189906335085,-0.005574664760058745
True,80.0,20.0,5.0,20.0,1000000.0,0,0,80000.0,4,8.395991697890919,-0.019246525464074793
True,80.0,20.0,5.0,20.0,1000000.0,0,0,80000.0,5,10.603783178377654,0.0005986366719525904
True,90.0,20.0,5.0,20.0,1000000.0,0,0,80000.0,1,4.420164481928964,-0.023497734659695624
True,90.0,20.0,5.0,20.0,1000000.0,0,0,80000.0,2,5.881392673943234,-0.03518532526973761
True,90.0,20.0,5.0,20.0,1000000.0,0,0,80000.0,3,7.88922413168028,-0.02854043941486406
True,90.0,20.0,5.0,20.0,1000000.0,0,0,80000.0,4,8.399933005647537,-0.015305217707457075
True,90.0,20.0,5.0,20.0,1000000.0,0,0,80000.0,5,10.574380828803909,-0.028803712901792622
True,10.0,20.0,20.0,20.0,1000000.0,0,0,80000.0,1,4.572999553834452,0.12933733724579266
True,10.0,20.0,20.0,20.0,1000000.0,0,0,80000.0,2,5.947501336739162,0.030923337526190586
True,10.0,20.0,20.0,20.0,1000000.0,0,0,80000.0,3,7.974871859330071,0.05710728823492772
True,10.0,20.0,20.0,20.0,1000000.0,0,0,80000.0,4,8.58830010074128,0.17306187738628687
True,10.0,20.0,20.0,20.0,1000000.0,0,0,80000.0,5,10.638141963878091,0.03495742217238984
True,20.0,20.0,20.0,20.0,1000000.0,0,0,80000.0,1,4.554464456880611,0.11080224029195129
True,20.0,20.0,20.0,20.0,1000000.0,0,0,80000.0,2,5.977488947432924,0.06091094821995302
True,20.0,20.0,20.0,20.0,1000000.0,0,0,80000.0,3,7.96335267071538,0.04558809962023602
True,20.0,20.0,20.0,20.0,1000000.0,0,0,80000.0,4,8.549289632255608,0.13405140890061418
True,20.0,20.0,20.0,20.0,1000000.0,0,0,80000.0,5,10.644120669641115,0.04093612793541368
True,30.0,20.0,20.0,20.0,1000000.0,0,0,80000.0,1,4.52914802443863,0.08548580784997029
True,30.0,20.0,20.0,20.0,1000000.0,0,0,80000.0,2,6.006655327464331,0.09007732825135939
True,30.0,20.0,20.0,20.0,1000000.0,0,0,80000.0,3,7.965557348587427,0.04779277749228328
True,30.0,20.0,20.0,20.0,1000000.0,0,0,80000.0,4,8.506478044371653,0.09123982101665895
True,30.0,20.0,20.0,20.0,1000000.0,0,0,80000.0,5,10.64891664014505,0.045732098439348334
True,40.0,20.0,20.0,20.0,1000000.0,0,0,80000.0,1,4.502611582290364,0.058949365701704615
True,40.0,20.0,20.0,20.0,1000000.0,0,0,80000.0,2,6.0176637453711965,0.1010857461582253
True,40.0,20.0,20.0,20.0,1000000.0,0,0,80000.0,3,7.985458242679839,0.06769367158469564
True,40.0,20.0,20.0,20.0,1000000.0,0,0,80000.0,4,8.469656045496329,0.05441782214133539
True,40.0,20.0,20.0,20.0,1000000.0,0,0,80000.0,5,10.656566715912984,0.05338217420728242
True,50.0,20.0,20.0,20.0,1000000.0,0,0,80000.0,1,4.478206447410944,0.034544230822284305
True,50.0,20.0,20.0,20.0,1000000.0,0,0,80000.0,2,6.006021129196492,0.089443129983521
True,50.0,20.0,20.0,20.0,1000000.0,0,0,80000.0,3,8.005081382575776,0.08731681148063242
True,50.0,20.0,20.0,20.0,1000000.0,0,0,80000.0,4,8.441648344613139,0.026410121258145125
True,50.0,20.0,20.0,20.0,1000000.0,0,0,80000.0,5,10.668202740245807,0.06501819854010549
True,60.0,20.0,20.0,20.0,1000000.0,0,0,80000.0,1,4.458632989254363,0.014970772665702903
True,60.0,20.0,20.0,20.0,1000000.0,0,0,80000.0,2,5.978313072642224,0.06173507342925255
True,60.0,20.0,20.0,20.0,1000000.0,0,0,80000.0,3,8.002666359794553,0.08490178869940923
True,60.0,20.0,20.0,20.0,1000000.0,0,0,80000.0,4,8.422734264947364,0.007496041592370162
True,60.0,20.0,20.0,20.0,1000000.0,0,0,80000.0,5,10.671421707919418,0.06823716621371645
True,70.0,20.0,20.0,20.0,1000000.0,0,0,80000.0,1,4.444593167074456,0.000930950485796167
True,70.0,20.0,20.0,20.0,1000000.0,0,0,80000.0,2,5.946816784979379,0.03023878576640815
True,70.0,20.0,20.0,20.0,1000000.0,0,0,80000.0,3,7.976655031051873,0.05889045995672948
True,70.0,20.0,20.0,20.0,1000000.0,0,0,80000.0,4,8.412493390097016,-0.00274483325797803
True,70.0,20.0,20.0,20.0,1000000.0,0,0,80000.0,5,10.658466816405028,0.05528227469932645
True,80.0,20.0,20.0,20.0,1000000.0,0,0,80000.0,1,4.436274735825263,-0.007387480763396681
True,80.0,20.0,20.0,20.0,1000000.0,0,0,80000.0,2,5.922019955641942,0.00544195642897094
True,80.0,20.0,20.0,20.0,1000000.0,0,0,80000.0,3,7.945545233620051,0.02778066252490774
True,80.0,20.0,20.0,20.0,1000000.0,0,0,80000.0,4,8.408681611124987,-0.00655661223000692
True,80.0,20.0,20.0,20.0,1000000.0,0,0,80000.0,5,10.633488833200307,0.03030429149460545
True,90.0,20.0,20.0,20.0,1000000.0,0,0,80000.0,1,4.432370474042069,-0.011291742546590378
True,90.0,20.0,20.0,20.0,1000000.0,0,0,80000.0,2,5.908057345352156,-0.00852065386081513
True,90.0,20.0,20.0,20.0,1000000.0,0,0,80000.0,3,7.923705248779763,0.0059406776846193665
True,90.0,20.0,20.0,20.0,1000000.0,0,0,80000.0,4,8.407968693141898,-0.007269530213095621
True,90.0,20.0,20.0,20.0,1000000.0,0,0,80000.0,5,10.611003254906374,0.007818713200672178
True,10.0,0.0,50.0,20.0,1000000.0,0,0,80000.0,1,4.49679213333985,0.05312991675119072
True,10.0,0.0,50.0,20.0,1000000.0,0,0,80000.0,2,5.942657871129902,0.02607987191693084
True,10.0,0.0,50.0,20.0,1000000.0,0,0,80000.0,3,7.949278488027699,0.03151391693255512
True,10.0,0.0,50.0,20.0,1000000.0,0,0,80000.0,4,8.467937743417005,0.05269952006201173
True,10.0,0.0,50.0,20.0,1000000.0,0,0,80000.0,5,10.635555355654976,0.032370813949274435
True,20.0,0.0,50.0,20.0,1000000.0,0,0,80000.0,1,4.491309290438993,0.0476470738503334
True,20.0,0.0,50.0,20.0,1000000.0,0,0,80000.0,2,5.944415474817703,0.027837475604731488
True,20.0,0.0,50.0,20.0,1000000.0,0,0,80000.0,3,7.951149656538648,0.033385085443504714
True,20.0,0.0,50.0,20.0,1000000.0,0,0,80000.0,4,8.462151934524634,0.04691371116964049
True,20.0,0.0,50.0,20.0,1000000.0,0,0,80000.0,5,10.635439428126992,0.03225488642129015
True,50.0,0.0,50.0,20.0,1000000.0,0,0,80000.0,1,4.465989906382321,0.022327689793661065
True,50.0,0.0,50.0,20.0,1000000.0,0,0,80000.0,2,5.945521364750512,0.028943365537540622
True,50.0,0.0,50.0,20.0,1000000.0,0,0,80000.0,3,7.956978377734741,0.03921380663959706
True,50.0,0.0,50.0,20.0,1000000.0,0,0,80000.0,4,8.436739421584488,0.021501198229493923
True,50.0,0.0,50.0,20.0,1000000.0,0,0,80000.0,5,10.635304579683632,0.03212003797793095
True,70.0,0.0,50.0,20.0,1000000.0,0,0,80000.0,1,4.45249650473287,0.008834288144210056
True,70.0,0.0,50.0,20.0,1000000.0,0,0,80000.0,2,5.932665027652201,0.01608702843922938
True,70.0,0.0,50.0,20.0,1000000.0,0,0,80000.0,3,7.945961269386294,0.028196698291150568
True,70.0,0.0,50.0,20.0,1000000.0,0,0,80000.0,4,8.42384574781766,0.00860752446266666
True,70.0,0.0,50.0,20.0,1000000.0,0,0,80000.0,5,10.62796787257422,0.02478333086851947
True,80.0,0.0,50.0,20.0,1000000.0,0,0,80000.0,1,4.447073463645777,0.0034112470571177056
True,80.0,0.0,50.0,20.0,1000000.0,0,0,80000.0,2,5.925456965654305,0.008878966441333347
True,80.0,0.0,50.0,20.0,1000000.0,0,0,80000.0,3,7.9378615845009115,0.02009701340576786
True,80.0,0.0,50.0,20.0,1000000.0,0,0,80000.0,4,8.419991539079613,0.004753315724618901
True,80.0,0.0,50.0,20.0,1000000.0,0,0,80000.0,5,10.621833242889917,0.018648701184215355
True,90.0,0.0,50.0,20.0,1000000.0,0,0,80000.0,1,4.443771580968266,0.0001093643796066246
True,90.0,0.0,50.0,20.0,1000000.0,0,0,80000.0,2,5.9184881578497786,0.0019101586368073242
True,90.0,0.0,50.0,20.0,1000000.0,0,0,80000.0,3,7.931523562110734,0.013758991015590638
True,90.0,0.0,50.0,20.0,1000000.0,0,0,80000.0,4,8.41702282982576,0.0017846064707658371
True,90.0,0.0,50.0,20.0,1000000.0,0,0,80000.0,5,10.615228814359606,0.012044272653904287
True,10.0,20.0,50.0,20.0,1000000.0,0,0,80000.0,1,4.48623885789721,0.042576641308550656
True,10.0,20.0,50.0,20.0,1000000.0,0,0,80000.0,2,5.936243241329734,0.019665242116762904
True,10.0,20.0,50.0,20.0,1000000.0,0,0,80000.0,3,7.943760449959676,0.02599587886453225
True,10.0,20.0,50.0,20.0,1000000.0,0,0,80000.0,4,8.463934639300684,0.048696415945689964
True,10.0,20.0,50.0,20.0,1000000.0,0,0,80000.0,5,10.628928016713024,0.025743475007322658
True,20.0,20.0,50.0,20.0,1000000.0,0,0,80000.0,1,4.481454749999894,0.0377925334112339
True,20.0,20.0,50.0,20.0,1000000.0,0,0,80000.0,2,5.938656044051689,0.022078044838718114
True,20.0,20.0,50.0,20.0,1000000.0,0,0,80000.0,3,7.9452263435309565,0.027461772435812826
True,20.0,20.0,50.0,20.0,1000000.0,0,0,80000.0,4,8.458594335825783,0.0433561124707893
True,20.0,20.0,50.0,20.0,1000000.0,0,0,80000.0,5,10.629051953056,0.025867411350299463
True,30.0,20.0,50.0,20.0,1000000.0,0,0,80000.0,1,4.475656685158555,0.03199446856989496
